category,level,region,year,quarter,registered_users
user,district,north twenty four parganas,2019,4,1638605
user,pincode,201301,2019,4,398548
user,pincode,110059,2019,4,320535
user,pincode,560068,2019,4,313673
user,pincode,500072,2019,4,279498
user,pincode,110092,2019,4,264380
user,pincode,122001,2019,4,258880
user,pincode,421302,2019,4,243170
user,pincode,560078,2019,4,218317
user,pincode,395006,2019,4,214322
user,pincode,560076,2019,4,211683
user,state,maharashtra,2020,1,26168390
user,state,uttar pradesh,2020,1,20136256
user,state,karnataka,2020,1,17016980
user,state,andhra pradesh,2020,1,13022060
user,state,telangana,2020,1,12306860
user,state,rajasthan,2020,1,12142053
user,state,west bengal,2020,1,11960822
user,state,tamil nadu,2020,1,10872368
user,state,gujarat,2020,1,10259843
user,state,madhya pradesh,2020,1,10151371
user,district,bengaluru urban,2020,1,7564577
user,district,pune,2020,1,4802397
user,district,jaipur,2020,1,2966508
user,district,thane,2020,1,2878073
user,district,mumbai suburban,2020,1,2843378
user,district,hyderabad,2020,1,2483843
user,district,ahmadabad,2020,1,2185983
user,district,rangareddy,2020,1,2166829
user,district,medchal malkajgiri,2020,1,1845599
user,district,north twenty four parganas,2020,1,1789973
user,pincode,201301,2020,1,425915
user,pincode,110059,2020,1,342152
user,pincode,560068,2020,1,334481
user,pincode,500072,2020,1,296003
user,pincode,110092,2020,1,280039
user,pincode,122001,2020,1,277400
user,pincode,421302,2020,1,270275
user,pincode,560078,2020,1,234102
user,pincode,395006,2020,1,230047
user,pincode,110086,2020,1,226703
user,state,maharashtra,2020,2,28765086
user,state,uttar pradesh,2020,2,22498519
user,state,karnataka,2020,2,18655366
user,state,andhra pradesh,2020,2,14319675
user,state,rajasthan,2020,2,13563201
user,state,telangana,2020,2,13378191
user,state,west bengal,2020,2,13222022
user,state,tamil nadu,2020,2,12150786
user,state,gujarat,2020,2,11392657
user,state,madhya pradesh,2020,2,11374423
user,district,bengaluru urban,2020,2,8028070
user,district,pune,2020,2,5144688
user,district,jaipur,2020,2,3182014
user,district,thane,2020,2,3135101
user,district,mumbai suburban,2020,2,3060916
user,district,hyderabad,2020,2,2653534
user,district,ahmadabad,2020,2,2384154
user,district,rangareddy,2020,2,2313748
user,district,north twenty four parganas,2020,2,1966125
user,district,medchal malkajgiri,2020,2,1963353
user,pincode,201301,2020,2,445271
user,pincode,110059,2020,2,365614
user,pincode,560068,2020,2,351484
user,pincode,500072,2020,2,309469
user,pincode,421302,2020,2,298762
user,pincode,110092,2020,2,295000
user,pincode,122001,2020,2,293479
user,pincode,560078,2020,2,247869
user,pincode,110086,2020,2,246312
user,pincode,395006,2020,2,245129
