state,year,payment_category,type,count,amount,source_file
india,2020,Financial Services,TOTAL,2942567,3259168195.749941,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\4.json
india,2020,Others,TOTAL,9556404,5323095366.309718,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2020\4.json
india,2021,Merchant payments,TOTAL,1467948823,844466633896.8679,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\1.json
india,2021,Peer-to-peer payments,TOTAL,1447600942,5170856441552.582,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\1.json
india,2021,Recharge & bill payments,TOTAL,530118545,260182440730.4327,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\1.json
india,2021,Financial Services,TOTAL,3075296,3573884778.5300817,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\1.json
india,2021,Others,TOTAL,8851525,5199901891.8900385,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\1.json
india,2021,Peer-to-peer payments,TOTAL,1744272888,6163165772736.494,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\2.json
india,2021,Merchant payments,TOTAL,1499626469,1003530942287.5988,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\2.json
india,2021,Recharge & bill payments,TOTAL,685024821,300559461295.9022,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\2.json
india,2021,Financial Services,TOTAL,3397384,3651996523.4499955,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\2.json
india,2021,Others,TOTAL,9061732,5598131364.820071,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\2.json
india,2021,Merchant payments,TOTAL,2316924871,1426965558783.5557,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\3.json
india,2021,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\3.json
india,2021,Recharge & bill payments,TOTAL,714583744,349234592690.4992,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\3.json
india,2021,Financial Services,TOTAL,3112160,4043342762.3300233,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\3.json
india,2021,Others,TOTAL,13558464,7146868847.2897215,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\3.json
india,2021,Merchant payments,TOTAL,3152394530,1995855822160.6426,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\4.json
india,2021,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\4.json
india,2021,Recharge & bill payments,TOTAL,738096162,407266894783.10693,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\4.json
india,2021,Financial Services,TOTAL,4141629,5028434834.240034,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\4.json
india,2021,Others,TOTAL,14562602,9296993478.869577,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2021\4.json
india,2022,Merchant payments,TOTAL,3748851071,2272818129376.5205,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\1.json
india,2022,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\1.json
india,2022,Recharge & bill payments,TOTAL,749674246,447599848131.41187,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\1.json
india,2022,Financial Services,TOTAL,4035100,4921211866.489969,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\1.json
india,2022,Others,TOTAL,16393502,8422766458.459174,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\1.json
india,2022,Merchant payments,TOTAL,4765203787,2847096877386.341,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\2.json
india,2022,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\2.json
india,2022,Recharge & bill payments,TOTAL,845751926,523046092987.93964,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\2.json
india,2022,Financial Services,TOTAL,3272822,3889787479.819907,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\2.json
india,2022,Others,TOTAL,11241480,6711034131.16017,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\2.json
india,2022,Merchant payments,TOTAL,5618132071,3151614767860.314,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\3.json
india,2022,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\3.json
india,2022,Recharge & bill payments,TOTAL,956164949,607048699730.3645,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\3.json
india,2022,Financial Services,TOTAL,3959631,4514223164.469998,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\3.json
india,2022,Others,TOTAL,10005043,6725900102.770244,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\3.json
india,2022,Merchant payments,TOTAL,6565690145,3673601044800.037,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\4.json
india,2022,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\4.json
india,2022,Recharge & bill payments,TOTAL,991049281,649776847580.25,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\4.json
india,2022,Financial Services,TOTAL,4623387,5360528394.309982,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\4.json
india,2022,Others,TOTAL,10013085,7361492606.590162,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2022\4.json
india,2023,Merchant payments,TOTAL,7205999708,3745994748195.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\1.json
india,2023,Peer-to-peer payments,TOTAL,4792478560,15924876501456.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\1.json
india,2023,Recharge & bill payments,TOTAL,1076952638,829952832616.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\1.json
india,2023,Financial Services,TOTAL,4884759,5673343900.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\1.json
india,2023,Others,TOTAL,10259195,7571900579.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\1.json
india,2023,Merchant payments,TOTAL,8529595637,4277821161887.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\2.json
india,2023,Peer-to-peer payments,TOTAL,5374546962,17722778868673.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\2.json
india,2023,Recharge & bill payments,TOTAL,1190947064,904758857308.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\2.json
india,2023,Financial Services,TOTAL,5195942,6364033676.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\2.json
india,2023,Others,TOTAL,9341245,6919677602.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\2.json
india,2023,Merchant payments,TOTAL,9868299757,4686944326058.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\3.json
india,2023,Peer-to-peer payments,TOTAL,5929662466,18342686827713.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\3.json
india,2023,Recharge & bill payments,TOTAL,1229068434,967694654180.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\3.json
india,2023,Financial Services,TOTAL,6273522,8553479441.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\3.json
india,2023,Others,TOTAL,8491944,6397985054.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\3.json
india,2023,Merchant payments,TOTAL,11107996161,5419672580085.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\4.json
india,2023,Peer-to-peer payments,TOTAL,6643982862,20533815852133.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\4.json
india,2023,Recharge & bill payments,TOTAL,1247192050,1077506924551.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\4.json
india,2023,Financial Services,TOTAL,7517384,9998159518.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\4.json
india,2023,Others,TOTAL,8651416,6391200449.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2023\4.json
india,2024,Merchant payments,TOTAL,12520741960,5962442621632.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\1.json
india,2024,Peer-to-peer payments,TOTAL,7335480797,22327480157794.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\1.json
india,2024,Recharge & bill payments,TOTAL,1365204965,1150335013422.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\1.json
india,2024,Financial Services,TOTAL,7419656,11806228360.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\1.json
india,2024,Others,TOTAL,8290191,6518078355.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\1.json
india,2024,Merchant payments,TOTAL,14634736361,6800938567813.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\2.json
india,2024,Peer-to-peer payments,TOTAL,7929923251,23817818323139.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\2.json
india,2024,Recharge & bill payments,TOTAL,1443979969,1179029035046.0,C:\Users\iqbal\Downloads\pulse\pulse-master\data\aggregated\transaction\country\india\2024\2.json
