level,region,year,quarter,count,amount,source,state
state,tripura,2018,3,377703,453863388.04059243,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,lakshadweep,2018,3,1703,4339032.3119858485,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,manipur,2018,3,189258,383331244.79412293,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,maharashtra,2018,3,31538538,52260817733.24835,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,dadra & nagar haveli & daman & diu,2018,3,289575,447639595.67817545,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,meghalaya,2018,3,110290,209853661.53439403,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,andaman & nicobar islands,2018,3,16265,55557471.13431113,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,haryana,2018,3,8262024,16375139007.627964,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,rajasthan,2018,3,14257098,24040768671.212967,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,ladakh,2018,3,24864,84090977.14484604,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,punjab,2018,3,3462108,7065687043.821184,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,assam,2018,3,2351851,3811134989.9142647,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,jharkhand,2018,3,8122621,8661571417.704563,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,odisha,2018,3,30052155,23094515775.585766,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,bihar,2018,3,14367804,20135804378.90174,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,kerala,2018,3,3134348,5323025223.875498,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,karnataka,2018,3,25980261,48225091755.80772,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,chandigarh,2018,3,616936,1369354447.5343118,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,telangana,2018,3,19332703,32030093209.72354,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,himachal pradesh,2018,3,886754,1754041432.858025,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,west bengal,2018,3,53705416,41843934183.177635,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,gujarat,2018,3,11334149,17866404426.27552,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,sikkim,2018,3,108500,235080226.95331776,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,nagaland,2018,3,94371,241792742.9366532,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,mizoram,2018,3,39316,116600738.12539022,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,chhattisgarh,2018,3,3859604,6302307073.446348,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,jammu & kashmir,2018,3,2303961,3934700999.457677,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,goa,2018,3,339511,713166969.2382338,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,arunachal pradesh,2018,3,131146,331726406.7413912,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,delhi,2018,3,18547048,27375846860.618515,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,uttarakhand,2018,3,2229132,3726573039.8585143,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\3.json,
state,puducherry,2018,4,307964,625691665.4234949,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,tamil nadu,2018,4,22457444,43302073975.890976,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,uttar pradesh,2018,4,36100767,55096743575.91497,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,madhya pradesh,2018,4,21397555,33905608072.964783,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,andhra pradesh,2018,4,30759548,51473779406.840416,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,tripura,2018,4,448059,624885599.4644469,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,lakshadweep,2018,4,1642,4463213.698222831,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,manipur,2018,4,236110,605683559.3060112,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,maharashtra,2018,4,46090223,79518937047.82959,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
state,dadra & nagar haveli & daman & diu,2018,4,404082,658750616.8008878,C:\Users\iqbal\Downloads\pulse\pulse-master\data\map\transaction\hover\country\india\2018\4.json,
